,T5_578,T5_580,T5_581,T5_582,T5_583,T5_584,T5_585,T5_586,T5_589,T5_591,T5_593,T5_595,T5_597,T5_599,T5_601,T5_603
Treatment,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
s_Pseudobutyrivibrio_ruminis,13,115,20,11,4,222,1214,12,156,83,8,660,20,108,359,33
s_Parabacteroides_goldsteinii,93,97,111,197,118,94,35,56,142,60,72,103,87,183,354,29
s_Lactobacillus_reuteri,5335,112840,55887,51127,3723,43792,36821,75536,25356,20048,25929,42989,92617,49813,15257,55125
s_Lactobacillus_murinus,194,318,576,338,124,299,44,394,291,180,310,132,452,749,197,70
s_Lactobacillus_johnsonii,1306,14540,5008,3590,1468,3015,2936,4134,49559,4979,1501,33097,8851,8545,1581,10442
s_Lactobacillus_gasseri,930,4536,1925,2065,1115,1607,1686,1553,3511,1046,773,13134,3065,4670,1158,4677
s_Lactobacillus_animalis,66,103,213,87,43,91,8,129,56,50,87,26,109,161,45,12
s_Lachnospiraceae_bacterium_14-2,73,129,91,56,47,81,496,32,48,73,27,125,19,116,221,75
s_Akkermansia_muciniphila,3975,88167,24424,44874,99117,6903,3526,64129,196076,37521,28250,3587,20528,79399,24109,37544
s_Agathobacter_ruminis,11,82,9,21,11,110,722,0,7,45,3,12,15,80,222,10
s_Vibrio_sp._2521-89,121,121,71,110,73,152,789,52,65,72,36,82,49,104,260,55
s_Thermocrinis_minervae,124,134,136,148,101,163,518,103,128,94,90,102,107,134,271,104
s_Paenibacillus_sp._IHB_B_3084,991,1176,1129,1427,752,1766,7187,638,1346,815,706,4000,689,1336,2884,706
s_Corynebacterium_uterequi,745,781,699,720,1021,687,327,859,576,574,667,511,818,599,532,617
s_Borrelia_anserina,163,130,130,201,175,179,678,89,104,119,111,189,117,121,229,138
s_Bacteroides_vulgatus,140249,48898,77156,85162,168766,104886,17341,224849,79154,63236,94003,108927,98128,92915,140393,36350
s_Lactobacillus_amylolyticus,298,4099,1240,472,251,323,512,467,2169,505,300,1784,597,271,411,782
s_Lactobacillus_acidophilus,327,5479,1728,834,370,423,371,793,3036,449,453,2277,884,334,378,1285
s_Candidatus_Arthromitus_sp._SFB-mouse-NL,406,7,20,779,739,7,7,656,102,101,194,874,245,9,24,209
s_Candidatus_Arthromitus_sp._SFB-mouse,567,39,51,936,867,18,114,893,152,106,297,1116,302,29,41,229
s_Acetobacter_sp._SLV-7,31,92,29,70,21,114,609,34,72,34,60,123,30,77,193,29
s_Roseburia_inulinivorans,286,152,208,469,125,274,1408,108,158,299,78,242,65,173,523,196
s_Faecalibaculum_rodentium,6951,153470,62667,131110,44679,12362,3972,14920,120273,60255,44206,151272,64104,281489,70557,49854
s_Entomoplasma_freundtii,66,93,61,135,122,121,568,56,56,48,28,75,44,101,205,86
s_Chlamydia_caviae,104,88,105,224,89,74,382,66,60,54,24,128,52,58,108,127
s_Bifidobacterium_pseudolongum,195005,116132,29967,56102,17936,128506,9123,285975,154753,68789,229455,215291,435279,500426,138574,136934
